repository,task_type,page_type,entry_page_extension,entry_page_path_depth,entry_page_bytes,entry_page_lines,entry_page_heading_count,entry_page_link_count,entry_page_toctree_count,optional_mean_recall_at_3,optional_mean_ndcg_at_3,optional_mean_returned_set_f1,required_mean_recall_at_3,required_mean_ndcg_at_3,required_mean_returned_set_f1,required_minus_optional_recall_at_3,required_minus_optional_ndcg_at_3,required_minus_optional_returned_set_f1,required_mean_wiki_tokens,required_mean_wiki_bytes,required_mean_wiki_read_count,required_mean_unique_wiki_pages,required_mean_beyond_entry_reads,required_mean_page_1_tokens,required_mean_page_2_tokens,required_mean_page_3_tokens,required_mean_first_page_share,required_mean_unique_targeted_source_files,required_mean_non_gold_files_before_gold_or_end,required_mean_gold_seen_any,required_mean_gold_seen_by_3_source_actions,required_mean_gold_targeted_any,required_mean_prediction_seen_fraction,optional_mean_elapsed_seconds,required_mean_elapsed_seconds,required_minus_optional_elapsed_seconds,optional_mean_agent_step_count,required_mean_agent_step_count,required_minus_optional_agent_step_count,optional_mean_source_action_count,required_mean_source_action_count,required_minus_optional_source_action_count,required_minus_optional_provider_total_tokens
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,476,38,2,6,1,1.0,1.0,0.6666666666666666,1.0,1.0,0.625,0.0,0.0,-0.0416666666666666,135.0,476.0,1.0,1.0,0.0,135.0,0.0,0.0,1.0,5.875,1.25,1.0,1.0,1.0,1.0,44.398,59.201,14.802999999999995,5.125,7.875,2.75,5.125,6.75,1.625,19030.0
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,494,39,2,6,1,1.0,1.0,0.7083333333333333,1.0,1.0,0.6458333333333333,0.0,0.0,-0.0625,139.0,494.0,1.0,1.0,0.0,139.0,0.0,0.0,1.0,3.625,1.0,1.0,1.0,1.0,1.0,34.938125,48.085125,13.146999999999998,3.75,6.25,2.5,3.75,5.125,1.375,47621.25
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4349,90,2,0,6,0.5,0.6131471927654584,0.6458333333333333,0.5,0.6131471927654584,0.6333333333333333,0.0,0.0,-0.0124999999999999,937.0,4349.0,1.0,1.0,0.0,937.0,0.0,0.0,1.0,3.625,1.0,1.0,0.75,1.0,0.9583333333333334,46.10675,49.09675,2.990000000000002,5.125,7.25,2.125,5.125,6.125,1.0,28165.0
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,2013,81,6,7,2,0.875,0.875,0.5625,1.0,1.0,0.6458333333333333,0.125,0.125,0.0833333333333332,392.0,2013.0,1.0,1.0,0.0,392.0,0.0,0.0,1.0,3.75,1.0,1.0,1.0,1.0,1.0,49.651,55.80925,6.1582500000000024,6.125,7.625,1.5,6.125,6.625,0.5,13870.75
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,3539,117,5,8,4,1.0,1.0,0.4958333333333333,1.0,1.0,0.4875,0.0,0.0,-0.0083333333333333,815.0,3539.0,1.0,1.0,0.0,815.0,0.0,0.0,1.0,7.625,1.0,1.0,1.0,1.0,1.0,86.7975,106.072125,19.274625,7.0,10.875,3.875,7.0,9.625,2.625,28362.5
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,820,31,1,1,2,1.0,1.0,0.5833333333333333,1.0,1.0,0.6041666666666666,0.0,0.0,0.0208333333333333,223.0,820.0,1.0,1.0,0.0,223.0,0.0,0.0,1.0,3.5,1.125,1.0,0.75,0.875,1.0,38.17175,37.016375,-1.1553750000000065,4.75,5.125,0.375,4.75,4.125,-0.625,-13622.75
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,820,31,1,1,2,0.875,0.875,0.4791666666666666,1.0,1.0,0.5833333333333333,0.125,0.125,0.1041666666666666,223.0,820.0,1.0,1.0,0.0,223.0,0.0,0.0,1.0,6.625,2.25,1.0,0.5,1.0,1.0,47.0335,61.33825,14.30475,5.875,8.75,2.875,5.875,7.75,1.875,41230.0
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,2275,68,5,5,2,1.0,0.9538662191964322,0.5166666666666666,1.0,1.0,0.4875,0.0,0.0461337808035677,-0.0291666666666666,449.0,2275.0,1.0,1.0,0.0,449.0,0.0,0.0,1.0,4.875,1.0,1.0,1.0,1.0,1.0,36.383375,42.731625,6.34825,3.125,4.875,1.75,3.125,3.875,0.75,-5840.75
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.7083333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,-0.0416666666666666,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,2.5,1.0,1.0,1.0,0.625,1.0,25.92325,41.71025,15.787000000000004,3.375,5.75,2.375,3.375,4.75,1.375,44591.875
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,1933,80,6,7,2,0.125,0.1532867981913646,0.1958333333333333,0.1875,0.2299301972870469,0.1416666666666666,0.0625,0.0766433990956823,-0.0541666666666666,393.0,1933.0,1.0,1.0,0.0,393.0,0.0,0.0,1.0,10.5,6.25,1.0,0.0,1.0,1.0,94.588125,96.08,1.4918749999999932,9.0,10.125,1.125,9.0,9.125,0.125,8346.0
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,785,54,2,6,1,1.0,1.0,0.4291666666666667,1.0,1.0,0.3875,0.0,0.0,-0.0416666666666666,270.5,1009.375,1.125,1.125,0.125,215.0,55.5,0.0,0.9157814871016692,6.75,1.375,1.0,1.0,1.0,1.0,69.364625,69.066625,-0.2980000000000018,7.25,8.25,1.0,7.125,6.875,-0.25,-2315.375
matplotlib/matplotlib,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2689,111,9,5,0,1.0,0.9538662191964322,0.6666666666666666,1.0,1.0,0.6458333333333333,0.0,0.0461337808035677,-0.0208333333333333,619.0,2689.0,1.0,1.0,0.0,619.0,0.0,0.0,1.0,7.625,1.5,1.0,1.0,1.0,1.0,58.7365,56.09875,-2.637749999999997,6.125,6.0,-0.125,6.125,5.0,-1.125,-7489.5
matplotlib/matplotlib,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2501,108,9,4,0,0.875,0.875,0.5291666666666667,1.0,1.0,0.6666666666666666,0.125,0.125,0.1374999999999999,576.0,2501.0,1.0,1.0,0.0,576.0,0.0,0.0,1.0,7.25,1.0,1.0,1.0,1.0,1.0,138.408875,122.595875,-15.812999999999988,11.5,11.625,0.125,11.5,10.5,-1.0,-15944.5
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.mdx,4,81988,430,5,389,0,0.25,0.25,0.1333333333333333,0.25,0.25,0.2083333333333333,0.0,0.0,0.0749999999999999,19534.0,67545.0,1.25,1.0,0.0,17154.0,2380.0,0.0,0.9146416347538828,6.875,6.0,0.5,0.0,0.5,1.0,107.699,75.79675,-31.902249999999995,6.5,8.875,2.375,6.375,7.375,1.0,117671.25
matplotlib/matplotlib,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2689,111,9,5,0,1.0,1.0,0.55,1.0,1.0,0.5625,0.0,0.0,0.0124999999999999,619.0,2689.0,1.0,1.0,0.0,619.0,0.0,0.0,1.0,6.625,1.25,1.0,1.0,1.0,1.0,71.421125,75.005875,3.5847499999999997,7.25,7.5,0.25,7.125,6.375,-0.75,2970.5
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,40381,331,4,274,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,6038.0,28436.0,1.0,1.0,0.0,6038.0,0.0,0.0,1.0,4.625,1.25,1.0,1.0,1.0,1.0,37.42975,42.192625,4.762875000000001,4.875,5.625,0.75,4.875,4.625,-0.25,35152.5
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,89493,496,5,456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17251.0,59200.0,1.0,1.0,0.0,17251.0,0.0,0.0,1.0,6.25,6.25,0.125,0.0,0.0,0.9583333333333334,115.869875,183.399125,67.52924999999999,9.625,11.125,1.5,9.5,10.0,0.5,110097.0
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4349,90,2,0,6,1.0,1.0,0.7083333333333333,1.0,1.0,0.6041666666666666,0.0,0.0,-0.1041666666666666,937.0,4349.0,1.0,1.0,0.0,937.0,0.0,0.0,1.0,5.0,1.125,1.0,1.0,1.0,1.0,41.622,58.78625,17.164250000000003,4.5,7.375,2.875,4.375,6.0,1.625,49369.25
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6458333333333333,0.0,0.0,-0.0208333333333333,2182.875,8611.75,1.125,1.25,0.125,2102.0,80.875,0.0,0.9708243145743146,4.375,1.125,1.0,0.875,1.0,1.0,45.508875,51.692625,6.183750000000003,6.5,7.125,0.625,6.375,6.0,-0.375,5488.75
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,42391,346,4,289,0,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,0.0,0.0,-0.0833333333333333,6088.75,28586.5,1.125,1.125,0.125,5981.0,107.75,0.0,0.9844179320318148,3.0,1.125,1.0,1.0,1.0,1.0,23.411875,33.40475,9.992874999999998,3.25,5.5,2.25,3.25,4.375,1.125,42418.875
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.rst,3,10086,186,3,0,5,1.0,1.0,0.6458333333333333,1.0,1.0,0.7083333333333333,0.0,0.0,0.0625,2754.0,10086.0,1.0,1.0,0.0,2754.0,0.0,0.0,1.0,5.375,1.625,1.0,0.875,1.0,1.0,32.325375,47.033625,14.70825,4.625,6.75,2.125,4.625,5.75,1.125,45940.25
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.mdx,4,83720,438,5,397,0,0.375,0.375,0.2083333333333333,0.375,0.3125,0.2291666666666666,0.0,-0.0625,0.0208333333333333,16894.5,57941.0,1.0,1.0,0.0,16894.5,0.0,0.0,1.0,7.0,4.25,0.875,0.375,0.875,1.0,66.266625,80.924125,14.6575,6.125,8.75,2.625,6.0,7.75,1.75,136651.0
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,3539,117,5,8,4,1.0,1.0,0.5916666666666667,1.0,1.0,0.6458333333333333,0.0,0.0,0.0541666666666665,815.0,3539.0,1.0,1.0,0.0,815.0,0.0,0.0,1.0,8.375,1.125,1.0,0.875,1.0,1.0,68.65775,72.6375,3.97975000000001,7.25,10.875,3.625,7.25,9.625,2.375,17765.125
